year,date,sampledate,division,lakeid,chla,pH,WT,DO,SDD
2015,1,2015/1/14,N,SP,0.766666667,7.325,3.194736842,8.252631579,6.3
2015,1,2015/1/15,N,TR,0.89,7.392,1.942424242,10.33636364,4.3
2015,1,2015/1/16,N,CR,1.444444444,6.115,2.957894737,9.563157895,4.8
2015,1,2015/1/19,N,AL,0.366666667,7.1425,2.45,7.175,2.5
2015,1,2015/1/20,N,TB,3.766666667,5.0425,3.2125,0.275,0.7
2015,1,2015/1/21,N,BM,0.333333333,6.9575,2.389473684,8.121052632,7.7
2015,1,2015/1/23,N,CB,9.175,5.213333333,2.333333333,1.833333333,0.8
2015,2,2015/2/24,N,AL,3.166666667,7.12,2.6,5.675,2.3
2015,2,2015/2/24,N,SP,0.111111111,7.145,3.142105263,7.394736842,6.4
2015,2,2015/2/27,N,CR,0.511111111,6.1075,3.165,8.075,4.6
2015,3,2015/3/2,N,TR,0.41,7.33,2.096969697,8.921212121,5.6
2015,3,2015/3/3,N,BM,0.377777778,6.9025,2.636842105,7.068421053,6.1
2015,3,2015/3/6,N,CB,10.5,5.143333333,2.066666667,0.666666667,0.8
2015,3,2015/3/6,N,TB,1.133333333,4.93,3.025,0.2,1.1
2015,3,2015/3/23,N,AL,6.6,7.075,4.15,4.775,4
2015,3,2015/3/23,N,CB,45.7,5.23,3.433333333,1.1,0.9
2015,3,2015/3/24,N,SP,5.144444444,7.06,3.747368421,7.063157895,5.8
2015,3,2015/3/24,N,TB,6.45,4.875,3.45,0.3125,1
2015,3,2015/3/26,N,BM,2.044444444,6.865,3.352631579,6.542105263,5.4
2015,3,2015/3/26,N,CR,3.766666667,6.3175,3.68,8.56,4.2
2015,3,2015/3/27,N,TR,2.31,7.31,2.633333333,9.593939394,5.8
2015,4,2015/4/20,N,CB,33.925,5.143333333,8.233333333,3.9,0.9
2015,4,2015/4/20,N,CR,11.97777778,6.2125,5.695,10.305,3.1
2015,4,2015/4/21,N,AL,2.766666667,7.5075,7.675,9.7375,1.6
2015,4,2015/4/21,N,TB,9.316666667,5.045,5.1125,2.5,0.8
2015,4,2015/4/23,N,BM,7.222222222,7.355,5.568421053,11.18947368,3.2
2015,4,2015/4/23,N,SP,1.177777778,7.3125,5.421052632,9.194736842,3.1
2015,4,2015/4/24,N,TR,1.76,7.482,4.287878788,10.5969697,3.2
2015,5,2015/5/18,N,SP,4.9,7.591666667,8.857894737,9.5,7.8
2015,5,2015/5/19,N,AL,1.883333333,7.558,12.25,7.7,3.6
2015,5,2015/5/19,N,BM,1.577777778,7.472857143,10.15263158,10.05263158,8.9
2015,5,2015/5/20,N,CB,89.5,4.916666667,12.1,5.433333333,0.5
2015,5,2015/5/20,N,CR,6.933333333,6.593333333,8.26,9.73,3.4
2015,5,2015/5/21,N,TB,30.98333333,4.948,6.725,2.1875,0.5
2015,5,2015/5/21,N,TR,3.01,7.806666667,7.933333333,10.34545455,4.6
2015,6,2015/6/15,N,BM,1.555555556,7.53,15.27368421,9.463157895,8.1
2015,6,2015/6/16,N,CB,99.475,4.89,17.86666667,4.6,1.5
2015,6,2015/6/16,N,CR,5.1,6.52,11.1,9.05,7.6
2015,6,2015/6/17,N,SP,3.488888889,7.57,11.77368421,8.184210526,5.4
2015,6,2015/6/17,N,TB,34.18333333,4.822,8.95,1.1375,0.8
2015,6,2015/6/18,N,AL,7.116666667,7.785,17.175,6.0125,2.5
2015,6,2015/6/18,N,TR,2.42,7.865714286,10.16060606,9.387878788,4.8
2015,7,2015/7/13,N,AL,60.08333333,7.746,20.3625,5.4625,3.3
2015,7,2015/7/13,N,CR,3.044444444,6.16,14.1,9.005,8.5
2015,7,2015/7/14,N,BM,4.422222222,7.13,16.30526316,7.442105263,6.6
2015,7,2015/7/14,N,CB,492.5,4.806666667,19.83333333,2.8,1.4
2015,7,2015/7/15,N,SP,2.722222222,7.825,13.88421053,8.352631579,5.9
2015,7,2015/7/15,N,TB,53.93333333,4.626,9.9125,0.95,0.9
2015,7,2015/7/16,N,TR,2.34,7.501428571,11.08484848,7.993939394,5.1
2015,8,2015/8/10,N,AL,138.3166667,7.448,19.5625,5.9625,3.2
2015,8,2015/8/10,N,CR,5.588888889,6.478333333,14.955,7.895,8
2015,8,2015/8/11,N,SP,3.544444444,7.628571429,14.7,8.173684211,6.7
2015,8,2015/8/11,N,TB,40.86666667,4.656,10.5,1.35,0.8
2015,8,2015/8/12,N,BM,5.9,7.196666667,16.74210526,6.373684211,6.3
2015,8,2015/8/12,N,CB,57,4.926666667,20.86666667,4.8,1.3
2015,8,2015/8/13,N,TR,2.07,7.608571429,11.95454545,7.442424242,5.9
2015,9,2015/9/8,N,AL,20.85,7.5975,19.85,5.925,3.1
2015,9,2015/9/8,N,SP,4.944444444,7.345714286,14.38421053,7.363157895,8.9
2015,9,2015/9/9,N,BM,6.4125,7.334,16.75789474,5.805263158,6.7
2015,9,2015/9/9,N,CB,24.7,5.11,19.5,4.5,1.4
2015,9,2015/9/10,N,CR,3.877777778,6.116666667,15.1,6.831578947,6.8
2015,9,2015/9/10,N,TB,76.53333333,4.618,10.125,1.9625,1.1
2015,9,2015/9/11,N,TR,2.48,7.668571429,11.43030303,6.118181818,5.5
2015,10,2015/10/5,N,BM,7.477777778,6.858333333,14.24736842,6.368421053,5.5
2015,10,2015/10/5,N,TB,17.75,4.88,8.375,1.8125,1.1
2015,10,2015/10/6,N,AL,11.83333333,7.5975,14.8625,8.125,2.4
2015,10,2015/10/6,N,CR,1.966666667,6.188333333,13,6.342105263,9.6
2015,10,2015/10/7,N,CB,18.825,5.13,12.5,5.466666667,1.2
2015,10,2015/10/7,N,SP,3.366666667,7.403333333,12.37894737,6.742105263,10.8
2015,10,2015/10/8,N,TR,2.39,7.433333333,10.18484848,5.475757576,5.5
2015,11,2015/11/9,N,AL,6.033333333,7.6275,7.2625,10.4375,3.8
2015,11,2015/11/9,N,CB,8.875,5.236666667,6.833333333,7.6,1.1
2015,11,2015/11/10,N,BM,6.055555556,7.475,8.694736842,10.15789474,4.3
2015,11,2015/11/10,N,CR,3.7,6.105,9.042105263,9.110526316,4.1
2015,11,2015/11/17,N,SP,4.1,7.255,8.010526316,8.715789474,4
2015,11,2015/11/17,N,TB,5.25,4.9925,5.3875,3.0125,1.1
2015,11,2015/11/18,N,TR,2.68,7.584,7.803030303,9.548484848,4.2
2016,1,2016/1/21,N,SP,1.944444444,7.2325,2.147368421,10.67368421,3.8
2016,1,2016/1/22,N,BM,1.177777778,7.1875,1.289473684,11.02105263,7.3
2016,1,2016/1/25,N,CB,4.275,5.326666667,2.7,3.466666667,0.9
2016,1,2016/1/25,N,TB,12.05,4.99,3.275,0.175,0.8
2016,1,2016/1/28,N,AL,0.65,7.2775,1.5875,8.85,2.8
2016,1,2016/1/29,N,CR,1.544444444,6.19,2.147368421,11.05789474,5.3
2016,2,2016/2/1,N,TR,0.93,7.526,1.106060606,10.33030303,5.4
2016,2,2016/2/24,N,CB,3.75,5.27,2,0.866666667,1
2016,2,2016/2/24,N,TB,8.733333333,5.016666667,3.2,0.3625,0.7
2016,2,2016/2/25,N,CR,0.922222222,6.0875,2.278947368,10.25263158,5.9
2016,3,2016/3/1,N,TR,0.58,7.496,1.351612903,11.18709677,5.1
2016,3,2016/3/4,N,BM,0.544444444,7.1375,1.905263158,8.873684211,6.9
2016,3,2016/3/7,N,SP,2.966666667,7.56,2.389473684,9.505263158,3.9
2016,3,2016/3/8,N,AL,0.4,7.1025,2.228571429,7.628571429,3.4
2016,4,2016/4/22,N,CB,20.075,5.213333333,8.333333333,3.5,1
2016,4,2016/4/22,N,TB,10.61666667,4.9575,5.525,1.875,0.8
2016,4,2016/4/25,N,AL,3.566666667,7.225,6.75,6.4625,2
2016,4,2016/4/26,N,CR,3.411111111,6.2525,5.189473684,10.51052632,4.4
2016,4,2016/4/26,N,SP,7,7.4275,5.526315789,10.92105263,3.2
2016,4,2016/4/27,N,BM,3.777777778,7.235,5.778947368,11.16315789,4.5
2016,4,2016/4/27,N,TR,4.68,7.58,4.448484848,11.64545455,4.6
2016,5,2016/5/23,N,AL,2.933333333,7.776,14.2875,8.825,2.8
2016,5,2016/5/23,N,BM,1.133333333,7.414285714,10.71052632,10.44210526,2.7
2016,5,2016/5/24,N,SP,4.475,7.491428571,8.968421053,9.694736842,4.1
2016,5,2016/5/25,N,CB,9.7,4.796666667,14.33333333,6.2,1.1
2016,5,2016/5/25,N,CR,4.211111111,6.124285714,9.325,10.77,6.6
2016,5,2016/5/26,N,TR,3.18,8.005714286,8.315151515,10.91515152,6.6
2016,6,2016/6/20,N,AL,15.16666667,7.818,18.6,5.95,2.4
2016,6,2016/6/20,N,SP,4.966666667,7.438571429,11.33157895,8.873684211,5.8
2016,6,2016/6/21,N,BM,1.622222222,7.231428571,14.32631579,8.557894737,6.8
2016,6,2016/6/21,N,CB,59.525,5,18.8,2.9,1.1
2016,6,2016/6/22,N,CR,3.966666667,6.316666667,11.88,10.03,7.1
2016,6,2016/6/22,N,TB,25.96666667,4.828,9.7375,1.325,1
2016,6,2016/6/23,N,TR,1.8,7.875714286,10.27878788,9.563636364,6.5
2016,7,2016/7/19,N,CR,4.133333333,7.068571429,13.76,9.495,6.5
2016,7,2016/7/19,N,TB,47.3,4.83,10.0125,1.322222222,0.9
2016,7,2016/7/20,N,AL,51.38333333,7.818,19.5,5.3625,3.8
2016,7,2016/7/20,N,BM,3.333333333,7.321428571,16.2,6.731578947,6.2
2016,7,2016/7/21,N,CB,6.8,5.143333333,22.4,2.366666667,0.9
2016,7,2016/7/21,N,SP,4.022222222,7.548571429,12.97894737,8.215789474,7
2016,7,2016/7/22,N,TR,2.45,7.784285714,11.7,8.409090909,6.8
2016,8,2016/8/16,N,BM,4.044444444,7.152857143,17.43157895,5.789473684,6.8
2016,8,2016/8/16,N,TB,54.58333333,4.594,10.4875,1.15,0.9
2016,8,2016/8/17,N,CB,154.25,4.92,23.1,3.7,1.1
2016,8,2016/8/17,N,CR,2.888888889,6.334285714,15.135,8.01,10.1
2016,8,2016/8/18,N,AL,72.41666667,7.752,20.925,5.1625,3.3
2016,8,2016/8/18,N,SP,3.666666667,7.617142857,13.86315789,7.521052632,6.5
2016,8,2016/8/19,N,TR,2.24,7.57,12.42121212,7.496969697,5.6
2016,9,2016/9/12,N,AL,60.76666667,7.492,18.2625,6.025,2.6
2016,9,2016/9/12,N,SP,3.911111111,7.344285714,13.04210526,7.252631579,4.4
2016,9,2016/9/13,N,BM,4.6375,6.986666667,16.06842105,5.410526316,3.9
2016,9,2016/9/13,N,CB,425.3,4.913333333,19.13333333,3.866666667,0.9
2016,9,2016/9/14,N,CR,3.4,6.166,14.655,7.5,7.5
2016,9,2016/9/14,N,TB,126.5333333,4.806,9.9375,1.7875,1
2016,9,2016/9/15,N,TR,2.06,7.425,11.41818182,6.748484848,5.4
2016,10,2016/10/10,N,BM,4.722222222,7.098,13.29473684,6.405263158,4.8
2016,10,2016/10/10,N,TB,48.46666667,4.764,8.275,2.225,0.8
2016,10,2016/10/11,N,AL,13.25,7.51,13.3625,8.6625,2.1
2016,10,2016/10/11,N,CR,4.355555556,6.21,12.46,6.98,6.4
2016,10,2016/10/12,N,CB,23.75,5.02,12.73333333,4.8,1.2
2016,10,2016/10/12,N,SP,4.144444444,7.205714286,10.75263158,6.768421053,6.4
2016,10,2016/10/13,N,TR,3.3,7.243333333,9.809090909,6.163636364,4.2
2016,11,2016/11/10,N,AL,13.5,7.6075,8.4375,10.1125,2.1
2016,11,2016/11/10,N,CB,15.95,5.056666667,7.466666667,8.066666667,1.2
2016,11,2016/11/11,N,BM,6,7.4575,9.705263158,9.957894737,4.8
2016,11,2016/11/14,N,CR,3.222222222,6.34,9.175,8.94,5.2
2016,11,2016/11/15,N,TR,2.77,7.304,8.087878788,7.072727273,3.7
2016,11,2016/11/16,N,SP,2.588888889,7.2875,7.968421053,7.421052632,4.6
2016,11,2016/11/16,N,TB,60.23333333,4.79,5.7875,2.9,0.7
2017,1,2017/1/16,N,AL,1.083333333,7.1825,1.6875,8.775,2.3
2017,1,2017/1/17,N,CB,3.925,5.186666667,2.6,4.066666667,0.7
2017,1,2017/1/17,N,SP,0.922222222,7.18,3.6,9,3.9
2017,1,2017/1/18,N,BM,0.6,7.1775,2.878947368,9.184210526,6.9
2017,1,2017/1/18,N,CR,1.366666667,6.255,3.615,10.02,5.6
2017,1,2017/1/19,N,TR,0.9,7.442,1.548484848,10.46060606,4.9
2017,1,2017/1/20,N,TB,10.85,4.7825,3.25,0.25,1
2017,2,2017/2/13,N,TR,0.81,7.442,1.672727273,9.766666667,5.7
2017,2,2017/2/16,N,CR,0.711111111,6.0875,3.75,9.09,5
2017,2,2017/2/17,N,TB,50.52,4.7975,3.0875,0.05,0.4
2017,2,2017/2/20,N,AL,0.366666667,7.105,2.4125,7.225,3.3
2017,2,2017/2/21,N,BM,0.35,6.995,3.242105263,7.852631579,13.9
2017,2,2017/2/22,N,SP,0.855555556,7.0375,3.757894737,7.721052632,6.9
2017,2,2017/2/23,N,CB,6.725,5.153333333,2.366666667,3.2,1.1
2017,4,2017/4/17,N,AL,6.133333333,7.42,7.8875,9.65,1.7
2017,4,2017/4/17,N,SP,5.711111111,7.3575,5.8,10.22631579,3
2017,4,2017/4/18,N,CB,30.975,5.166666667,7.3,5.8,1.1
2017,4,2017/4/18,N,CR,3.366666667,6.2675,5.63,10.85,4.1
2017,4,2017/4/19,N,BM,3.133333333,7.27,6.163157895,11.02105263,4.2
2017,4,2017/4/19,N,TB,35.25,4.665,5.05,2.4625,0.6
2017,4,2017/4/21,N,TR,4.57,7.602,4.53030303,11.22727273,3.9
2017,5,2017/5/16,N,AL,1.1,7.376,11.9125,8.7875,2.9
2017,5,2017/5/16,N,BM,1.466666667,7.496666667,9.452631579,10.73684211,6.9
2017,5,2017/5/17,N,CR,3.5,6.643333333,8.745,10.47,4.6
2017,5,2017/5/17,N,SP,3.788888889,7.53,8.8,9.868421053,4.9
2017,5,2017/5/18,N,CB,86.35,5.01,11.73333333,5.033333333,1.2
2017,5,2017/5/18,N,TB,13.16666667,4.648,6.9125,2.1875,0.8
2017,5,2017/5/19,N,TR,5.38,7.752,7.257575758,11.07575758,4
2017,6,2017/6/12,N,SP,4.8,7.567142857,11.37894737,8.347368421,3
2017,6,2017/6/13,N,BM,1.844444444,7.44,13.67368421,9.1,5.4
2017,6,2017/6/14,N,AL,2.9,7.49,16.725,6.2875,2.7
2017,6,2017/6/14,N,CB,12.6,4.82,17.2,3.5,1.1
2017,6,2017/6/15,N,CR,3.766666667,6.395714286,11.78,9.43,6.6
2017,6,2017/6/15,N,TB,6.95,4.474,9.7375,1.175,0.6
2017,6,2017/6/16,N,TR,2.9,7.89,10.44545455,9.458823529,4.1
2017,7,2017/7/10,N,SP,3.944444444,7.474285714,12.63684211,7.978947368,3.8
2017,7,2017/7/10,N,TB,38.16666667,4.394,8.775,0.775,0.9
2017,7,2017/7/11,N,BM,3.044444444,7.635714286,15.78421053,7.515789474,6.4
2017,7,2017/7/11,N,CB,10.55,4.893333333,20.26666667,2.766666667,1.1
2017,7,2017/7/12,N,AL,6.966666667,7.524,18.3,5.275,2.3
2017,7,2017/7/12,N,CR,3.133333333,6.534285714,14.985,10.185,7.8
2017,7,2017/7/13,N,TR,2.73,7.808571429,11.25757576,8.157575758,4.7
2017,8,2017/8/7,N,BM,4.144444444,7.325714286,16.31578947,6.668421053,6.7
2017,8,2017/8/7,N,CB,248.725,4.823333333,19.7,4.366666667,1.2
2017,8,2017/8/7,N,TB,28.73333333,4.448,9.9125,1.6,0.6
2017,8,2017/8/8,N,AL,26.55,7.36,19.1625,5.8,2
2017,8,2017/8/8,N,CR,4.1,6.63,14.56,8.555,8.1
2017,8,2017/8/9,N,SP,4.9375,7.39,13.1,7.547368421,4.6
2017,8,2017/8/10,N,TR,2.3,7.684285714,11.81818182,7.845454545,4.8
2017,9,2017/9/5,N,AL,65.5,7.32,16.5125,6.5,1.9
2017,9,2017/9/5,N,SP,3.722222222,7.238571429,12.10526316,6.6,5.3
2017,9,2017/9/6,N,BM,5.3,7.05,14.7,5.510526316,4.7
2017,9,2017/9/6,N,TB,51.38333333,4.614,8.7625,1.575,0.8
2017,9,2017/9/7,N,CB,25.025,5.226666667,16.23333333,4.766666667,1.1
2017,9,2017/9/7,N,CR,4.4,6.62,13.425,7.565,6
2017,9,2017/9/8,N,TR,2.72,7.632857143,10.68484848,6.63030303,5.1
2017,10,2017/10/2,N,SP,3,7.425714286,11.92105263,6.157894737,5.8
2017,10,2017/10/2,N,TB,88.36666667,4.646,8.65,1.9,0.6
2017,10,2017/10/3,N,BM,4.344444444,7.035,14.47368421,5.452631579,4.8
2017,10,2017/10/3,N,CB,6.5,5.013333333,15.66666667,4.433333333,1.1
2017,10,2017/10/4,N,AL,30.36666667,7.535,15.65,7.475,1.6
2017,10,2017/10/4,N,CR,8.322222222,6.22,13.285,7.175,7.1
2017,10,2017/10/5,N,TR,2.5,7.471666667,10.67272727,5.642424242,4.1
2017,11,2017/11/6,N,CB,13.65,5.046666667,3.7,9.2,1.6
2017,11,2017/11/6,N,TB,3.05,4.7,4.625,1.375,0.6
2017,11,2017/11/7,N,AL,12.26666667,7.62,4.1625,11.1875,1.9
2017,11,2017/11/8,N,BM,3.566666667,7.41,6.468421053,10.19473684,4.3
2017,11,2017/11/13,N,CR,3.622222222,6.33,5.505,10.31,6.1
2017,11,2017/11/13,N,SP,4.455555556,7.295,5.452631579,9,2.9
2017,11,2017/11/14,N,TR,3.26,7.558,5.403030303,10.08484848,3.8
2018,1,2018/1/15,N,SP,2.266666667,7.2675,2.342105263,9.631578947,3
2018,1,2018/1/16,N,AL,0.9,7.1,1.9375,7.7375,2.4
2018,1,2018/1/18,N,CB,3.975,5.213333333,2.5,2.7,1.1
2018,1,2018/1/18,N,CR,3.488888889,6.1875,2.19,10.27,6.2
2018,1,2018/1/19,N,TB,2.566666667,4.6975,3.25,0.3,1.1
2018,1,2018/1/22,N,BM,2.277777778,6.9725,1.521052632,9.921052632,5.1
2018,1,2018/1/24,N,TR,1.44,7.35,1.378787879,10.78787879,4.2
2018,2,2018/2/19,N,CR,1.366666667,6.055,2.355,9.225,5.6
2018,2,2018/2/20,N,BM,0.844444444,7.0225,1.784210526,9.031578947,6.3
2018,2,2018/2/21,N,TR,0.94,7.424,1.448484848,9.978787879,5.1
2018,2,2018/2/22,N,AL,1.3,7.0575,2.25,6.525,2.7
2018,2,2018/2/22,N,SP,4.344444444,7.22,2.415789474,8.884210526,3
2018,2,2018/2/23,N,CB,10.75,5.126666667,1.966666667,0.233333333,0.9
2018,2,2018/2/23,N,TB,4.166666667,4.7775,3,0.25,1
2018,3,2018/3/26,N,AL,1.316666667,7.05,2.6125,5.5375,3.1
2018,3,2018/3/26,N,SP,0.822222222,7.385,2.452631579,8.473684211,5.1
2018,3,2018/3/27,N,CB,25.4,5.26,2.033333333,0.633333333,0.9
2018,3,2018/3/27,N,CR,1.322222222,6.1975,2.55,8.42,8
2018,3,2018/3/28,N,BM,0.322222222,6.8975,2.015789474,7.857894737,8
2018,3,2018/3/28,N,TB,20.53333333,4.8075,2.875,0.3125,0.9
2018,3,2018/3/29,N,TR,0.56,7.338,1.612121212,9.275757576,9.1
2018,5,2018/5/14,N,AL,8.833333333,7.57,10.275,7.525,1.6
2018,5,2018/5/14,N,CB,50.575,5.29,12.16666667,4.033333333,1.1
2018,5,2018/5/15,N,CR,4.877777778,6.1125,6.67,9.54,9.6
2018,5,2018/5/15,N,SP,5.611111111,7.2,6.078947368,8.863157895,3.7
2018,5,2018/5/16,N,BM,5.888888889,7.0325,7.073684211,9.805263158,4.6
2018,5,2018/5/16,N,TB,12.51666667,4.6475,6.825,1.5,0.9
2018,5,2018/5/17,N,TR,4.94,7.486,5.03030303,10.66666667,4
2018,6,2018/6/11,N,AL,18.91666667,7.776,13.775,6.075,3
2018,6,2018/6/11,N,SP,6.622222222,7.758571429,9.031578947,8.721052632,5.3
2018,6,2018/6/12,N,CR,4.9,6.441428571,10.14,10.3,7.1
2018,6,2018/6/12,N,TB,13.2,4.71,8.35,0.9375,0.9
2018,6,2018/6/13,N,BM,1.633333333,7.521428571,11.15263158,9.221052632,6.4
2018,6,2018/6/13,N,CB,114.6,4.956666667,20.33333333,3.8,1.3
2018,6,2018/6/14,N,TR,2.97,7.871428571,8.278787879,10.24545455,4.8
2018,7,2018/7/9,N,BM,2.688888889,7.404285714,13.72631579,8.631578947,5.9
2018,7,2018/7/9,N,CB,244.2,5.026666667,22.66666667,3.766666667,1.2
2018,7,2018/7/10,N,CR,4.422222222,6.898571429,13.635,9.635,5.2
2018,7,2018/7/10,N,TB,32.55,4.78,9.4875,0.85,0.9
2018,7,2018/7/11,N,AL,78.46666667,7.556,17.925,4.925,2.3
2018,7,2018/7/11,N,SP,7.9,7.724285714,11.57894737,8.042105263,4.9
2018,7,2018/7/12,N,TR,5,7.986666667,9.821212121,9.339393939,4.9
2018,8,2018/8/6,N,BM,4.1,7.304285714,14.05263158,7.336842105,6.7
2018,8,2018/8/6,N,TB,49.45,4.676,9.9625,1.175,0.8
2018,8,2018/8/7,N,CB,365.625,4.92,21.93333333,4.7,1.4
2018,8,2018/8/7,N,SP,3.988888889,7.741428571,11.96842105,8.415789474,6.5
2018,8,2018/8/8,N,AL,89.23333333,8.048,18.3,5.7875,3
2018,8,2018/8/8,N,CR,4.288888889,6.447142857,13.435,7.905,6.2
2018,8,2018/8/9,N,TR,3.03,7.657142857,10.3969697,8.318181818,6.9
2018,9,2018/9/4,N,AL,93.2,7.632,17.35,5.3,2.5
2018,9,2018/9/4,N,BM,3.344444444,7.084285714,14.31578947,6.457894737,5.6
2018,9,2018/9/5,N,CB,131.95,5.12,20.03333333,4.033333333,1.5
2018,9,2018/9/5,N,SP,5.166666667,7.388571429,12.07894737,7.173684211,5.8
2018,9,2018/9/6,N,CR,1.811111111,6.376666667,13.73,7.895,5.5
2018,9,2018/9/6,N,TB,69.36666667,4.718,9.675,1.3625,0.5
2018,9,2018/9/7,N,TR,3.1,7.65,10.28181818,7.954545455,5.8
2018,10,2018/10/1,N,BM,3.411111111,7.136666667,12.14736842,6.536842105,7.2
2018,10,2018/10/1,N,TB,18.68333333,4.732,7.9125,1.4625,0.6
2018,10,2018/10/2,N,AL,96.23333333,7.3825,12.4,7.2625,2.1
2018,10,2018/10/2,N,SP,2.622222222,7.26,10.13684211,6.826315789,5.1
2018,10,2018/10/3,N,CB,9.2,5.216666667,12.56666667,4.2,1.5
2018,10,2018/10/3,N,CR,3.633333333,6.426666667,11.375,7.715,6.9
2018,10,2018/10/4,N,TR,2.28,7.346666667,8.612121212,6.93030303,4.7
2018,11,2018/11/5,N,AL,5.4,7.575,5.0375,10.8875,2
2018,11,2018/11/5,N,CB,6.5,5.333333333,4.1,7.966666667,1.5
2018,11,2018/11/6,N,BM,3.366666667,7.43,6.494736842,10.52105263,5.2
2018,11,2018/11/6,N,TB,9.966666667,4.805,4.45,2.7,0.4
2018,11,2018/11/11,N,CR,5.011111111,6.425,5.475,10.615,5.8
2018,11,2018/11/12,N,SP,5.288888889,7.2925,4.984210526,9.542105263,2.3
2018,11,2018/11/14,N,TR,3.72,7.654,4.3,10.96060606,3.9